1,1,3,2,3,1
2,1,3,3,1,1
3,1,1,2,3,2
4,4,3,2,1,1
5,1,2,2,2,2
6,1,4,2,2,1
7,1,4,2,1,1
8,1,4,1,1,2
9,2,2,2,1,2
10,3,4,3,1,1
11,4,1,2,3,1
12,4,3,1,1,1
13,3,2,1,3,2
14,1,2,1,2,2
15,1,2,3,2,1
16,2,3,3,1,1
17,3,2,3,2,1
18,1,1,1,2,2
19,2,4,1,2,2
20,3,4,1,3,1
21,2,3,3,2,1
22,1,2,2,1,2
23,3,2,1,2,2
24,4,2,2,3,1
25,1,4,2,3,1
26,4,3,2,1,1
27,1,4,1,3,2
28,3,4,1,1,1
29,2,3,2,2,1
30,2,4,2,1,1
31,2,1,3,2,2
32,2,1,3,1,2
33,4,2,1,3,2
34,2,2,2,2,2
35,1,2,3,2,2
36,2,4,1,1,2
37,2,2,2,3,2
38,3,1,2,2,1
39,1,2,3,3,2
40,1,4,3,2,1
41,2,4,2,2,1
42,1,4,3,3,1
43,1,1,1,1,2
44,1,4,3,3,1
45,3,2,3,2,1
46,3,2,1,1,2
47,1,3,2,3,1
48,1,1,3,1,2
49,3,2,1,3,2
50,1,2,3,3,2
51,4,1,1,3,2
52,2,2,3,1,2
53,3,4,2,3,1
54,4,3,3,3,1
55,4,1,1,1,2
56,3,3,2,2,1
57,3,2,2,1,2
58,1,2,3,2,2
59,1,2,1,2,2
60,4,1,1,3,2
61,1,1,2,3,2
62,1,4,1,2,2
63,4,2,1,2,1
64,3,4,1,1,1
65,2,1,1,1,2
66,4,4,2,3,1
67,4,2,2,2,1
68,2,3,3,3,1
69,2,1,1,3,2
70,4,3,3,3,1
71,4,1,3,1,1
72,3,3,3,1,1
73,3,1,2,1,1
74,2,4,2,3,1
75,2,2,3,3,2
76,2,1,3,2,2
77,3,2,2,1,1
78,1,4,1,2,1
79,3,3,1,3,1
80,2,4,3,3,1
81,3,2,3,2,1
82,3,2,1,3,1
83,2,4,2,1,1
84,4,2,2,2,1
85,3,2,3,1,1
86,1,4,2,3,1
87,4,3,2,1,1
88,4,4,3,2,1
89,4,4,1,3,1
90,1,3,3,3,1
91,3,4,3,3,1
92,3,3,3,3,1
93,4,1,1,2,1
94,2,1,2,3,1
95,1,1,2,1,2
96,2,1,2,3,2
97,1,1,2,3,2
98,1,4,1,1,1
99,3,3,3,2,1
100,3,1,3,1,1
101,4,1,3,2,1
102,4,3,3,1,1
103,1,1,1,3,2
104,2,2,2,1,2
105,4,3,2,3,1
106,1,4,3,3,1
107,3,1,2,3,1
108,4,3,3,3,1
109,3,4,2,3,1
